編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/2/7 下午 11:24:00,121.71,24.13,7.9,4.3,花蓮縣政府北偏東方  18.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 11:23:00,121.72,24.13,10.6,4.1,花蓮縣政府東北方  18.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 11:23:00,121.71,24.11,10.6,4.3,花蓮縣政府東北方  15.4  公里 (位於花蓮縣近海)
048   ,2018/2/7 下午 11:21:00,121.78,24.08,7.8,5.8,花蓮縣政府東偏北方  18.9  公里 (位於臺灣東部海域)
047   ,2018/2/7 下午 10:19:00,121.77,23.96,5.1,4.6,花蓮縣政府東方  15.3  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 10:17:00,121.59,23.95,8.3,2.2,花蓮縣政府西南方  5.2  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 下午 09:58:00,121.64,24.05,7.8,3.1,花蓮縣政府北偏東方  6.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 09:39:00,121.82,24,8.3,3.5,花蓮縣政府東方  20.0  公里 (位於臺灣東部海域)
046   ,2018/2/7 下午 09:08:00,121.74,24.09,7.3,4.5,花蓮縣政府東北方  16.5  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 09:06:00,121.77,24.08,7.2,5.1,花蓮縣政府東偏北方  18.2  公里 (位於臺灣東部海域)
045   ,2018/2/7 下午 08:51:00,121.64,24.25,15.1,4,花蓮縣政府北方  28.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 下午 08:39:00,121.68,24.1,8.7,3.6,花蓮縣政府北偏東方  13.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 07:58:00,121.78,23.97,6.4,4,花蓮縣政府東方  16.2  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 07:54:00,121.58,23.97,12.8,2.9,花蓮縣政府西偏南方  4.5  公里 (位於花蓮縣吉安鄉)
044   ,2018/2/7 下午 07:33:00,121.57,23.9,10.2,4,花蓮縣政府南偏西方  11.6  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/7 下午 07:22:00,121.65,24.06,9,3.6,花蓮縣政府北偏東方  8.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 07:19:00,121.67,24.09,9.2,3.5,花蓮縣政府北偏東方  12.7  公里 (位於花蓮縣近海)
043   ,2018/2/7 下午 07:13:00,121.73,24,8.2,5,花蓮縣政府東方  11.2  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 06:33:00,121.61,24.04,9.7,3.1,花蓮縣政府北方  5.6  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 下午 06:29:00,121.67,24.22,12.5,3.4,花蓮縣政府北偏東方  25.6  公里 (位於花蓮縣秀林鄉)
042   ,2018/2/7 下午 06:19:00,121.67,24.21,12.7,4.5,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 05:56:00,121.59,23.95,7.8,2.7,花蓮縣政府西南方  5.2  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 下午 05:52:00,121.59,23.98,5.6,2.6,花蓮縣政府西偏南方  3.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 05:46:00,121.73,24.01,8.7,3.9,花蓮縣政府東方  11.3  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 05:35:00,121.58,24,6.2,2.9,花蓮縣政府西偏北方  4.1  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 05:35:00,121.6,23.99,6.4,3.4,花蓮縣政府西方  2.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 05:31:00,121.6,23.97,6.6,3.3,花蓮縣政府西南方  3.1  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 05:04:00,121.67,24.07,7.6,3.2,花蓮縣政府北偏東方  9.8  公里 (位於花蓮縣近海)
041   ,2018/2/7 下午 04:23:00,121.68,24.09,8.3,4.1,花蓮縣政府北偏東方  12.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 03:53:00,121.76,24.17,11.4,3.2,花蓮縣政府東北方  24.7  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 03:39:00,121.66,24.06,7.6,3.1,花蓮縣政府北偏東方  8.8  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 03:00:00,121.61,24.04,16.5,3.1,花蓮縣政府北方  5.3  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 下午 01:09:00,121.7,24.12,8.9,3.6,花蓮縣政府北偏東方  16.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 01:07:00,121.72,23.99,7.4,4.3,花蓮縣政府東方  10.4  公里 (位於臺灣東部海域)
小區域,2018/2/7 下午 12:59:00,121.61,24.06,9.3,3.6,花蓮縣政府北方  7.8  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 12:56:00,121.64,24.06,10,3.7,花蓮縣政府北偏東方  7.3  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 12:56:00,121.78,24.18,14.1,3.2,花蓮縣政府東北方  26.9  公里 (位於臺灣東部海域)
040   ,2018/2/7 下午 12:50:00,121.64,24.05,8,4.3,花蓮縣政府北偏東方  7.3  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 12:48:00,121.61,23.93,23,3.4,花蓮縣政府南偏西方  7.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 下午 12:43:00,121.61,24.01,6.8,3.4,花蓮縣政府北偏西方  1.8  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 12:39:00,121.61,24,6.8,4,花蓮縣政府西北方  1.5  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 12:37:00,121.61,24,6.5,2.7,花蓮縣政府北偏西方  1.6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 下午 12:33:00,121.59,23.99,6.9,3.6,花蓮縣政府西方  2.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 下午 12:18:00,121.59,23.98,6.7,3,花蓮縣政府西偏南方  3.7  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 11:57:00,121.66,24.04,7.4,4,花蓮縣政府東北方  7.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 11:54:00,121.61,24.01,6,2.7,花蓮縣政府西北方  2.7  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 11:40:00,121.72,24.21,8.3,4,花蓮縣政府北偏東方  25.8  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 11:37:00,121.73,24.07,8.8,4.4,花蓮縣政府東北方  14.0  公里 (位於臺灣東部海域)
039   ,2018/2/7 上午 11:36:00,121.74,24.08,7.4,5.1,花蓮縣政府東北方  15.6  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 11:30:00,121.69,24.09,8.5,3,花蓮縣政府東北方  13.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 11:26:00,121.71,24.09,8.9,3.4,花蓮縣政府東北方  14.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 11:21:00,121.7,24.2,13.9,3.2,花蓮縣政府北偏東方  24.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 11:18:00,121.65,24.04,8.4,3.2,花蓮縣政府北偏東方  6.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 10:54:00,121.67,24.08,8.5,3.9,花蓮縣政府北偏東方  11.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 10:29:00,121.6,23.96,6.2,4,花蓮縣政府南偏西方  4.3  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 10:26:00,121.57,23.9,6.7,3.1,花蓮縣政府南偏西方  10.6  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/7 上午 10:20:00,121.57,23.9,7.1,3.4,花蓮縣政府南偏西方  10.8  公里 (位於花蓮縣壽豐鄉)
038   ,2018/2/7 上午 10:18:00,121.72,24.07,7.7,4.9,花蓮縣政府東北方  13.5  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 09:58:00,121.67,24.05,7.9,3.5,花蓮縣政府東北方  8.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 09:42:00,121.57,23.91,9.1,3.4,花蓮縣政府南偏西方  10.3  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/7 上午 09:42:00,121.62,24.02,6.5,3.4,花蓮縣政府北方  3.7  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 09:30:00,121.68,24.08,9,2.9,花蓮縣政府北偏東方  11.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 09:26:00,121.68,24.09,9.2,3.8,花蓮縣政府北偏東方  12.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 09:26:00,121.69,24.09,8.4,3.1,花蓮縣政府東北方  12.8  公里 (位於花蓮縣近海)
037   ,2018/2/7 上午 09:21:00,121.72,24,5.9,4.4,花蓮縣政府東方  10.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 09:17:00,121.69,24.09,7.9,3.6,花蓮縣政府東北方  13.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 09:16:00,121.6,23.96,6.1,2.1,花蓮縣政府西南方  3.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 08:55:00,121.62,23.96,5.3,2.6,花蓮縣政府南方  3.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 08:28:00,121.59,23.97,6.6,3,花蓮縣政府西南方  4.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 08:09:00,121.62,24.01,6.1,3.1,花蓮縣政府北方  2.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 07:56:00,121.68,24.09,8.5,3,花蓮縣政府北偏東方  13.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 07:46:00,121.62,24.02,6.9,2.7,花蓮縣政府北方  3.5  公里 (位於花蓮縣花蓮市)
036   ,2018/2/7 上午 07:43:00,121.65,24.03,7.5,4.9,花蓮縣政府東北方  5.2  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 07:34:00,121.58,23.97,7,2.4,花蓮縣政府西偏南方  4.3  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 07:31:00,121.63,24.03,7.3,2.8,花蓮縣政府北方  4.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 07:25:00,121.58,24,5.2,2.6,花蓮縣政府西方  4.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 07:24:00,121.6,23.98,5.9,4.1,花蓮縣政府西偏南方  2.4  公里 (位於花蓮縣花蓮市)
035   ,2018/2/7 上午 07:11:00,121.71,24.06,5.9,4.8,花蓮縣政府東北方  12.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 06:54:00,121.75,24.02,4.4,3.6,花蓮縣政府東方  13.2  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 06:45:00,121.61,23.99,7,2.8,花蓮縣政府西方  1.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 06:35:00,121.76,24.25,9.7,3.1,花蓮縣政府北偏東方  32.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 06:34:00,121.61,23.99,5.2,3,花蓮縣政府西方  .5  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 06:33:00,121.63,24.02,6.8,2.9,花蓮縣政府北偏東方  3.9  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 06:15:00,121.65,24.05,7.3,3,花蓮縣政府北偏東方  7.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 06:11:00,121.59,23.99,6.1,2.4,花蓮縣政府西方  2.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 06:08:00,121.6,24,6.1,3,花蓮縣政府西偏北方  2.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 06:07:00,121.57,24,5.9,2.5,花蓮縣政府西方  4.6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 05:56:00,121.59,23.98,7.4,3.6,花蓮縣政府西偏南方  3.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 05:48:00,121.62,24,6.5,2.4,花蓮縣政府北方  .9  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 05:37:00,121.62,24,6.4,3,花蓮縣政府北方  .6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 05:27:00,121.67,24.06,8.2,3.4,花蓮縣政府東北方  9.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 05:22:00,121.62,24.01,6.9,3.3,花蓮縣政府北方  2.0  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 05:14:00,121.76,24.03,4.6,3.6,花蓮縣政府東偏北方  14.7  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 05:06:00,121.58,23.97,7.9,2.7,花蓮縣政府西偏南方  4.4  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 05:05:00,121.69,24.05,6.5,3.9,花蓮縣政府東北方  9.5  公里 (位於花蓮縣近海)
034   ,2018/2/7 上午 05:02:00,121.59,23.97,6.5,4.3,花蓮縣政府西南方  3.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 04:58:00,121.72,24.24,13,4,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣近海)
033   ,2018/2/7 上午 04:56:00,121.68,24.06,7.2,4.9,花蓮縣政府東北方  9.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:51:00,121.69,24.1,8.6,4,花蓮縣政府北偏東方  14.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:51:00,121.65,24.04,9.2,3.4,花蓮縣政府北偏東方  6.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:48:00,121.72,23.98,6.3,3.8,花蓮縣政府東方  10.6  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 04:40:00,121.68,24.1,9.7,3.2,花蓮縣政府北偏東方  13.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:33:00,121.75,24.01,6.9,3.8,花蓮縣政府東方  13.1  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 04:30:00,121.72,24.11,11.3,3.4,花蓮縣政府東北方  17.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:28:00,121.6,24.01,8.1,2.7,花蓮縣政府西北方  2.8  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 上午 04:25:00,121.75,24.11,8.6,3.9,花蓮縣政府東北方  18.8  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 04:12:00,121.68,24.08,8.4,3.4,花蓮縣政府東北方  12.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 04:02:00,121.7,24.13,10.8,3.3,花蓮縣政府北偏東方  17.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:57:00,121.7,24.14,9.9,3.9,花蓮縣政府北偏東方  18.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:51:00,121.74,24.02,7.4,3.9,花蓮縣政府東偏北方  13.0  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 03:37:00,121.58,23.99,5.2,3.2,花蓮縣政府西方  4.4  公里 (位於花蓮縣吉安鄉)
032   ,2018/2/7 上午 03:36:00,121.72,24,7.1,4.8,花蓮縣政府東方  9.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:33:00,121.61,24,6.1,2.6,花蓮縣政府北偏西方  1.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 03:32:00,121.68,24.09,9.1,3,花蓮縣政府北偏東方  12.3  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:25:00,121.64,24.05,9.1,3,花蓮縣政府北偏東方  7.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:17:00,121.6,23.98,6.7,4.2,花蓮縣政府西偏南方  2.6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 03:16:00,121.67,24.06,8,4.3,花蓮縣政府東北方  9.4  公里 (位於花蓮縣近海)
031   ,2018/2/7 上午 03:15:00,121.73,24.01,5.7,5.4,花蓮縣政府東方  11.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:13:00,121.7,24.11,9.1,3.2,花蓮縣政府東北方  16.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:10:00,121.6,24.01,5.5,3.2,花蓮縣政府西北方  3.0  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 上午 03:05:00,121.59,23.95,8.2,2.3,花蓮縣政府西南方  5.3  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 03:03:00,121.66,24.03,7,3.9,花蓮縣政府東北方  5.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 03:01:00,121.68,24.04,8.5,4,花蓮縣政府東北方  8.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 02:56:00,121.61,24.02,7.1,2.9,花蓮縣政府北偏西方  3.3  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 上午 02:41:00,121.59,23.99,7.9,2.6,花蓮縣政府西方  3.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 02:38:00,121.76,24.08,6.6,3.7,花蓮縣政府東北方  17.5  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 02:37:00,121.69,24.09,8.6,3.2,花蓮縣政府北偏東方  12.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 02:32:00,121.58,24,6.9,2.3,花蓮縣政府西方  4.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 02:29:00,121.62,24.01,7.1,3,花蓮縣政府北方  2.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 02:28:00,121.57,24,4.9,2.3,花蓮縣政府西偏北方  5.0  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 02:27:00,121.57,24.01,6,3.3,花蓮縣政府西偏北方  5.5  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 上午 02:10:00,121.64,24.02,7.6,3.7,花蓮縣政府北偏東方  4.1  公里 (位於花蓮縣近海)
030   ,2018/2/7 上午 02:09:00,121.63,24.03,8.7,4.4,花蓮縣政府北偏東方  4.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 02:08:00,121.63,24.03,7.4,4,花蓮縣政府北方  4.3  公里 (位於花蓮縣近海)
029   ,2018/2/7 上午 02:07:00,121.71,24.04,4.2,5.3,花蓮縣政府東偏北方  10.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 02:06:00,121.67,24.05,7.6,3.6,花蓮縣政府東北方  8.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 02:02:00,121.63,24.04,8,3.5,花蓮縣政府北偏東方  5.8  公里 (位於花蓮縣近海)
028   ,2018/2/7 上午 02:00:00,121.73,24.12,6.7,5.3,花蓮縣政府東北方  17.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:56:00,121.66,24.05,7.3,3.7,花蓮縣政府東北方  7.7  公里 (位於花蓮縣近海)
027   ,2018/2/7 上午 01:50:00,121.59,23.98,6.6,4.3,花蓮縣政府西偏南方  3.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 01:49:00,121.57,24.01,4.8,2.2,花蓮縣政府西偏北方  5.2  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 上午 01:45:00,121.64,24.05,8,3.3,花蓮縣政府北偏東方  6.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:41:00,121.64,24.02,6.9,3.1,花蓮縣政府北偏東方  3.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:32:00,121.59,23.96,10,2.7,花蓮縣政府西南方  4.6  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 01:27:00,121.63,24.01,7.1,2.1,花蓮縣政府東北方  2.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 01:23:00,121.71,24.11,8.1,4.2,花蓮縣政府東北方  16.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:20:00,121.67,24.08,9.5,2.7,花蓮縣政府北偏東方  11.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:19:00,121.75,24.08,10.2,4.1,花蓮縣政府東北方  16.4  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 01:18:00,121.64,24.05,20.5,3.8,花蓮縣政府北偏東方  6.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:17:00,121.59,23.97,7.5,2.7,花蓮縣政府西南方  3.9  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 01:16:00,121.7,24.1,9.3,3,花蓮縣政府東北方  13.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:11:00,121.7,24.12,9.9,3.5,花蓮縣政府北偏東方  16.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:09:00,121.63,24.05,9.2,3.4,花蓮縣政府北偏東方  6.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 01:06:00,121.61,24.01,7.1,2.8,花蓮縣政府西北方  2.5  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 01:02:00,121.78,24.21,8.3,3.9,花蓮縣政府東北方  28.7  公里 (位於臺灣東部海域)
小區域,2018/2/7 上午 01:01:00,121.57,24.01,6,2.1,花蓮縣政府西偏北方  5.1  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 上午 12:57:00,121.6,23.99,8.7,2.8,花蓮縣政府西方  2.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:57:00,121.66,24.04,7.7,3.4,花蓮縣政府東北方  6.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:55:00,121.67,24.06,7.4,2.6,花蓮縣政府東北方  8.8  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:46:00,121.68,24.09,9.5,3.7,花蓮縣政府北偏東方  12.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:44:00,121.59,23.99,5.6,3.6,花蓮縣政府西方  3.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 12:39:00,121.66,24.06,7.5,3.2,花蓮縣政府北偏東方  8.0  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:38:00,121.57,24,5,2.5,花蓮縣政府西方  4.6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:38:00,121.59,23.99,7.9,2.4,花蓮縣政府西方  3.6  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 12:35:00,121.65,24.04,6.1,3.9,花蓮縣政府東北方  6.6  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:34:00,121.64,24.02,7.1,3.7,花蓮縣政府北偏東方  4.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:32:00,121.56,24.05,4,3.1,花蓮縣政府西北方  9.2  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 上午 12:31:00,121.64,24.05,8.7,3.2,花蓮縣政府北偏東方  6.9  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:28:00,121.65,24.08,10.6,3.2,花蓮縣政府北偏東方  9.9  公里 (位於花蓮縣近海)
026   ,2018/2/7 上午 12:26:00,121.61,23.99,6.9,4.3,花蓮縣政府西偏北方  1.2  公里 (位於花蓮縣花蓮市)
