編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/2/7 上午 12:23:00,121.68,24.09,10,3.1,花蓮縣政府北偏東方  12.5  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:21:00,121.61,24.03,6.1,2.7,花蓮縣政府北偏西方  4.3  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 上午 12:20:00,121.58,24.02,7.7,3,花蓮縣政府西北方  5.5  公里 (位於花蓮縣新城鄉)
小區域,2018/2/7 上午 12:19:00,121.57,24,4.1,2.9,花蓮縣政府西偏北方  5.5  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:18:00,121.62,24.01,6.7,3.7,花蓮縣政府北方  1.7  公里 (位於花蓮縣花蓮市)
025   ,2018/2/7 上午 12:17:00,121.61,23.99,5.9,4.9,花蓮縣政府西偏南方  .8  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:16:00,121.58,23.97,6.6,3.4,花蓮縣政府西偏南方  4.7  公里 (位於花蓮縣吉安鄉)
024   ,2018/2/7 上午 12:13:00,121.61,23.98,4.2,3.7,花蓮縣政府南偏西方  1.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:11:00,121.58,23.99,7.7,2.5,花蓮縣政府西方  4.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 12:07:00,121.58,23.97,6.6,2.8,花蓮縣政府西偏南方  4.9  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/7 上午 12:06:00,121.57,24.02,3.9,3.3,花蓮縣政府西偏北方  6.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/7 上午 12:04:00,121.59,23.98,6.4,3,花蓮縣政府西偏南方  3.1  公里 (位於花蓮縣花蓮市)
小區域,2018/2/7 上午 12:03:00,121.64,24,6.5,3.5,花蓮縣政府東偏北方  1.7  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:03:00,121.63,24.04,7.5,3.6,花蓮縣政府北偏東方  5.4  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:01:00,121.64,24.02,6.6,3.4,花蓮縣政府北偏東方  4.1  公里 (位於花蓮縣近海)
小區域,2018/2/7 上午 12:00:00,121.67,24.08,9.9,3.3,花蓮縣政府北偏東方  10.9  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 11:59:00,121.69,24.1,8,4.1,花蓮縣政府北偏東方  13.8  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 11:58:00,121.64,24.05,10,3.5,花蓮縣政府北偏東方  6.7  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 11:57:00,121.62,24.08,9.3,3.4,花蓮縣政府北方  9.7  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 11:54:00,121.62,24,6.7,4.5,花蓮縣政府北偏東方  1.1  公里 (位於花蓮縣花蓮市)
023   ,2018/2/6 下午 11:53:00,121.6,23.96,5.5,4.9,花蓮縣政府西南方  3.9  公里 (位於花蓮縣吉安鄉)
022   ,2018/2/6 下午 11:50:00,121.73,24.1,6.3,6.2,花蓮縣政府東北方  16.5  公里 (位於臺灣東部海域)
小區域,2018/2/6 下午 09:36:00,121.69,24.14,10,4.1,花蓮縣政府北偏東方  18.2  公里 (位於花蓮縣近海)
021   ,2018/2/6 下午 05:20:00,121.77,24.23,10.7,3.5,花蓮縣政府北偏東方  30.3  公里 (位於花蓮縣近海)
020   ,2018/2/6 下午 04:36:00,121.77,24.08,6.7,4.5,花蓮縣政府東偏北方  18.4  公里 (位於臺灣東部海域)
小區域,2018/2/6 下午 04:26:00,121.76,24.08,6.2,4.2,花蓮縣政府東偏北方  17.6  公里 (位於臺灣東部海域)
小區域,2018/2/6 下午 03:58:00,121.78,24.19,11.3,3.2,花蓮縣政府東北方  27.5  公里 (位於臺灣東部海域)
019   ,2018/2/6 下午 03:08:00,121.72,24.17,10.1,3.9,花蓮縣政府北偏東方  22.7  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 03:07:00,121.73,24.17,10,3.3,花蓮縣政府北偏東方  22.7  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 02:27:00,121.73,24.11,8.3,4.1,花蓮縣政府東北方  17.3  公里 (位於臺灣東部海域)
018   ,2018/2/6 下午 01:09:00,121.72,24.19,10.7,5,花蓮縣政府北偏東方  23.8  公里 (位於花蓮縣近海)
小區域,2018/2/6 下午 12:42:00,121.72,24.11,8.4,3.7,花蓮縣政府東北方  16.9  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 08:35:00,121.71,24.13,8.4,4.1,花蓮縣政府北偏東方  17.5  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 07:40:00,121.78,24.3,11.4,3.6,花蓮縣政府北偏東方  37.9  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 05:12:00,121.64,24.06,9.4,3.5,花蓮縣政府北偏東方  8.5  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 01:37:00,121.81,24.15,13.2,4.6,花蓮縣政府東北方  26.3  公里 (位於臺灣東部海域)
小區域,2018/2/6 上午 01:00:00,121.67,24.12,12.2,3.3,花蓮縣政府北偏東方  15.3  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 12:57:00,121.72,24.11,8.1,3.4,花蓮縣政府東北方  16.4  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 12:53:00,121.7,24.11,9.9,3.2,花蓮縣政府北偏東方  15.9  公里 (位於花蓮縣近海)
小區域,2018/2/6 上午 12:32:00,121.74,24.11,8.5,4.2,花蓮縣政府東北方  17.8  公里 (位於臺灣東部海域)
017   ,2018/2/5 下午 11:58:00,121.74,24.11,8.3,5,花蓮縣政府東北方  17.3  公里 (位於臺灣東部海域)
小區域,2018/2/5 下午 11:53:00,121.73,24.12,7.7,3.4,花蓮縣政府東北方  18.4  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 10:34:00,120.35,23.49,11.2,2.4,嘉義縣政府東偏北方  6.9  公里 (位於嘉義縣太保市)
小區域,2018/2/5 下午 09:58:00,121.71,24.25,13,3,花蓮縣政府北偏東方  30.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/5 下午 08:59:00,121.69,24.16,10.9,3.4,花蓮縣政府北偏東方  20.3  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 07:40:00,121.75,24.2,12.4,3,花蓮縣政府北偏東方  27.0  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 06:44:00,121.71,24.2,10,3.8,花蓮縣政府北偏東方  25.0  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 05:44:00,121.74,24.1,8.9,4.5,花蓮縣政府東北方  17.3  公里 (位於臺灣東部海域)
小區域,2018/2/5 下午 05:06:00,121.78,24.14,8.1,4.5,花蓮縣政府東北方  23.1  公里 (位於臺灣東部海域)
小區域,2018/2/5 下午 02:36:00,121.8,24.2,11.7,3.3,花蓮縣政府東北方  29.1  公里 (位於臺灣東部海域)
小區域,2018/2/5 下午 02:35:00,121.8,24.2,12.1,3.5,花蓮縣政府東北方  29.5  公里 (位於臺灣東部海域)
小區域,2018/2/5 下午 01:38:00,121.8,24.21,10.9,3.1,花蓮縣政府東北方  30.0  公里 (位於臺灣東部海域)
016   ,2018/2/5 下午 12:36:00,121.72,24.2,8.7,4.2,花蓮縣政府北偏東方  25.0  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 12:13:00,121.7,24.22,12.1,3.3,花蓮縣政府北偏東方  26.5  公里 (位於花蓮縣近海)
小區域,2018/2/5 下午 12:03:00,121.74,24.24,9.1,2.9,花蓮縣政府北偏東方  30.3  公里 (位於花蓮縣近海)
015   ,2018/2/5 上午 11:55:00,121.76,24.23,10.4,3.5,花蓮縣政府北偏東方  29.9  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 11:47:00,121.78,24.22,11.1,3.4,花蓮縣政府東北方  30.7  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 11:21:00,121.71,24.12,8.1,3.3,花蓮縣政府東北方  16.9  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 10:58:00,121.79,24.21,9,3.2,花蓮縣政府東北方  29.8  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 10:02:00,121.71,24.2,9.6,2.7,花蓮縣政府北偏東方  25.2  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 09:57:00,121.75,24.2,11.6,3.6,花蓮縣政府北偏東方  26.9  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 09:45:00,120.27,23.18,15.8,3,臺南市政府北偏東方  22.7  公里 (位於臺南市麻豆區)
小區域,2018/2/5 上午 09:02:00,121.68,24.13,11,3,花蓮縣政府北偏東方  16.8  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 08:40:00,121.7,24.11,9.2,3.4,花蓮縣政府東北方  15.8  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 07:44:00,121.75,24.18,14,3.6,花蓮縣政府東北方  25.0  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 04:58:00,121.75,24.24,10.6,3.5,花蓮縣政府北偏東方  30.2  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 03:55:00,121.73,24.17,11.7,3.1,花蓮縣政府北偏東方  22.8  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 03:39:00,121.75,24.17,11.1,3.4,花蓮縣政府東北方  23.7  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 03:05:00,121.7,24.12,7.7,3.7,花蓮縣政府北偏東方  16.9  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 02:44:00,121.71,24.11,8.6,3.1,花蓮縣政府東北方  16.5  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 02:40:00,121.64,24.13,10.6,3.7,花蓮縣政府北方  16.0  公里 (位於花蓮縣新城鄉)
小區域,2018/2/5 上午 02:35:00,121.78,24.19,7.9,4.2,花蓮縣政府東北方  27.4  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 02:10:00,121.71,24.12,8.5,3.7,花蓮縣政府東北方  16.7  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 02:10:00,121.72,24.1,11.7,3.5,花蓮縣政府東北方  15.2  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 02:08:00,121.73,24.12,7.6,3.6,花蓮縣政府東北方  18.8  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 01:50:00,121.7,24.13,8,3.4,花蓮縣政府北偏東方  17.3  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 01:47:00,121.73,24.1,8.6,3.6,花蓮縣政府東北方  16.0  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 01:41:00,121.77,24.23,5.7,3.5,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 01:27:00,121.79,24.23,5.4,3.8,花蓮縣政府東北方  31.8  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 01:22:00,121.76,24.19,3.2,3.4,花蓮縣政府東北方  26.3  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 01:06:00,121.7,24.21,7.5,3.2,花蓮縣政府北偏東方  25.8  公里 (位於花蓮縣近海)
014   ,2018/2/5 上午 12:54:00,121.8,24.26,3.8,4.5,花蓮縣政府北偏東方  35.1  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:54:00,121.72,24.21,7.5,3.3,花蓮縣政府北偏東方  26.1  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:53:00,121.7,24.13,7.6,3.1,花蓮縣政府北偏東方  17.6  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:52:00,121.72,24.2,8.3,2.7,花蓮縣政府北偏東方  25.1  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:46:00,121.73,24.23,8,3.4,花蓮縣政府北偏東方  29.3  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:29:00,121.81,24.19,10.6,3.1,花蓮縣政府東北方  29.4  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 12:26:00,121.78,24.24,3.7,3.7,花蓮縣政府北偏東方  32.2  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:20:00,121.79,24.21,3,3.8,花蓮縣政府東北方  29.8  公里 (位於臺灣東部海域)
小區域,2018/2/5 上午 12:18:00,121.76,24.24,6.2,4.1,花蓮縣政府北偏東方  31.3  公里 (位於花蓮縣近海)
小區域,2018/2/5 上午 12:08:00,121.7,24.12,8.1,2.8,花蓮縣政府北偏東方  16.8  公里 (位於花蓮縣近海)
013   ,2018/2/4 下午 11:33:00,121.75,24.23,5.1,4.6,花蓮縣政府北偏東方  28.9  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 11:00:00,121.73,24.22,9.9,3.4,花蓮縣政府北偏東方  27.6  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:52:00,121.71,24.25,7.2,3.4,花蓮縣政府北偏東方  30.2  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/4 下午 10:50:00,121.77,24.23,10,3,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:28:00,121.75,24.23,4.6,4,花蓮縣政府北偏東方  29.7  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:27:00,121.75,24.23,11.5,3.3,花蓮縣政府北偏東方  29.6  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:23:00,121.78,24.2,8.6,3.4,花蓮縣政府東北方  28.6  公里 (位於臺灣東部海域)
小區域,2018/2/4 下午 10:23:00,121.76,24.21,7.5,3.2,花蓮縣政府北偏東方  28.8  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:22:00,121.7,24.16,2.2,4,花蓮縣政府北偏東方  20.6  公里 (位於花蓮縣近海)
012   ,2018/2/4 下午 10:16:00,121.68,24.18,3.8,4.9,花蓮縣政府北偏東方  21.5  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:14:00,121.71,24.14,12.6,3.8,花蓮縣政府北偏東方  19.1  公里 (位於花蓮縣近海)
011   ,2018/2/4 下午 10:13:00,121.72,24.15,10.3,5.5,花蓮縣政府北偏東方  20.2  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:12:00,121.78,24.23,10.7,4.1,花蓮縣政府北偏東方  31.4  公里 (位於花蓮縣近海)
010   ,2018/2/4 下午 10:12:00,121.73,24.23,4,4.7,花蓮縣政府北偏東方  28.6  公里 (位於花蓮縣近海)
009   ,2018/2/4 下午 10:10:00,121.69,24.23,3.7,4.9,花蓮縣政府北偏東方  27.5  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/4 下午 10:07:00,121.78,24.2,11.1,3.2,花蓮縣政府東北方  28.0  公里 (位於臺灣東部海域)
小區域,2018/2/4 下午 10:05:00,121.77,24.28,8.2,4.6,花蓮縣政府北偏東方  35.7  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:02:00,121.7,24.21,7.3,3.9,花蓮縣政府北偏東方  26.0  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 10:01:00,121.78,24.21,10.9,3.8,花蓮縣政府東北方  29.3  公里 (位於臺灣東部海域)
小區域,2018/2/4 下午 10:00:00,121.78,24.26,5.5,4.3,花蓮縣政府北偏東方  34.3  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 09:59:00,121.81,24.2,6.6,4.1,花蓮縣政府東北方  30.2  公里 (位於臺灣東部海域)
小區域,2018/2/4 下午 09:57:00,121.71,24.17,10.2,5.2,花蓮縣政府北偏東方  21.9  公里 (位於花蓮縣近海)
008   ,2018/2/4 下午 09:56:00,121.74,24.15,10.6,5.8,花蓮縣政府東北方  21.7  公里 (位於花蓮縣近海)
007   ,2018/2/4 下午 09:33:00,121.68,24.2,5.5,4.3,花蓮縣政府北偏東方  24.1  公里 (位於花蓮縣近海)
006   ,2018/2/4 下午 09:12:00,121.7,24.21,3,5.3,花蓮縣政府北偏東方  25.1  公里 (位於花蓮縣近海)
小區域,2018/2/4 下午 08:36:00,121.67,24.41,24.9,2.9,宜蘭縣政府南偏西方  36.9  公里 (位於宜蘭縣南澳鄉)
小區域,2018/2/4 下午 04:40:00,121.18,24.59,4,3.1,新竹縣政府東南方  31.5  公里 (位於新竹縣五峰鄉)
005   ,2018/2/4 上午 03:31:00,121.7,24.18,10.4,4.3,花蓮縣政府北偏東方  22.7  公里 (位於花蓮縣近海)
004   ,2018/2/4 上午 03:30:00,121.7,24.18,10.3,4.7,花蓮縣政府北偏東方  22.7  公里 (位於花蓮縣近海)
小區域,2018/2/3 下午 12:25:00,121.66,24.61,6.6,3.2,宜蘭縣政府西南方  17.3  公里 (位於宜蘭縣大同鄉)
小區域,2018/2/3 上午 03:42:00,119.79,22.68,41.2,4,臺南市政府西南方  53.4  公里 (位於臺灣西部海域)
小區域,2018/2/1 上午 09:07:00,120.98,22.97,6.4,3.9,臺東縣政府西北方  30.0  公里 (位於臺東縣延平鄉)
小區域,2018/1/31 下午 11:44:00,120.99,22.97,7,4.1,臺東縣政府西北方  29.0  公里 (位於臺東縣延平鄉)
小區域,2018/1/31 下午 11:26:00,121,22.98,7,3.2,臺東縣政府北偏西方  29.4  公里 (位於臺東縣延平鄉)
小區域,2018/1/31 下午 10:49:00,121,22.98,7.6,3.8,臺東縣政府北偏西方  29.9  公里 (位於臺東縣延平鄉)
小區域,2018/1/30 上午 02:44:00,121.79,24.4,6.4,2.3,宜蘭縣政府南方  36.2  公里 (位於宜蘭縣近海)
小區域,2018/1/28 下午 06:58:00,120.9,24.21,32,3.8,臺中市政府東偏北方  23.5  公里 (位於臺中市和平區)
小區域,2018/1/28 下午 02:30:00,121.47,23.92,16.7,3,花蓮縣政府西偏南方  17.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/1/28 下午 01:39:00,121.63,24.06,10.5,2.7,花蓮縣政府北方  7.4  公里 (位於花蓮縣近海)
003   ,2018/1/27 上午 12:31:00,120.99,22.97,5.7,4.5,臺東縣政府西北方  28.9  公里 (位於臺東縣延平鄉)
小區域,2018/1/26 下午 01:35:00,121.34,22.72,88,4,臺東縣政府東方  19.6  公里 (位於臺灣東部海域)
小區域,2018/1/25 上午 08:23:00,120.63,23.21,8,2.7,嘉義市政府南偏東方  34.7  公里 (位於臺南市南化區)
小區域,2018/1/24 下午 12:28:00,121.34,23.05,18.8,4.2,臺東縣政府北偏東方  38.0  公里 (位於臺東縣近海)
小區域,2018/1/22 下午 11:06:00,122.12,24.16,45.4,4,花蓮縣政府東偏北方  54.5  公里 (位於臺灣東部海域)
小區域,2018/1/22 下午 05:09:00,121.4,23.74,19.2,3.5,花蓮縣政府西南方  35.2  公里 (位於花蓮縣萬榮鄉)
小區域,2018/1/22 下午 03:13:00,120.72,23.59,14.9,3.2,雲林縣政府東偏南方  23.6  公里 (位於雲林縣古坑鄉)
小區域,2018/1/22 上午 07:51:00,121.81,24.26,17.4,3.6,花蓮縣政府東北方  35.5  公里 (位於花蓮縣近海)
小區域,2018/1/21 下午 01:51:00,120.14,22.86,18.5,3.1,臺南市政府南偏西方  15.5  公里 (位於高雄市近海)
小區域,2018/1/21 上午 09:00:00,120.61,22.84,13.5,4,屏東縣政府東北方  21.2  公里 (位於屏東縣高樹鄉)
小區域,2018/1/19 上午 07:57:00,122.14,24.51,74.5,4.1,宜蘭縣政府東偏南方  44.9  公里 (位於臺灣東部海域)
小區域,2018/1/18 下午 03:25:00,121.54,23.7,4.2,2.6,花蓮縣政府南偏西方  33.9  公里 (位於花蓮縣豐濱鄉)
小區域,2018/1/17 下午 07:48:00,121.68,24.71,47.8,3.5,宜蘭縣政府西偏南方  9.2  公里 (位於宜蘭縣員山鄉)
002   ,2018/1/17 下午 01:59:00,121.72,25.06,140.2,5.5,基隆市政府南偏西方  8.5  公里 (位於基隆市暖暖區)
小區域,2018/1/15 上午 06:08:00,121.82,23.83,21.3,3.9,花蓮縣政府東南方  27.0  公里 (位於臺灣東部海域)
小區域,2018/1/13 下午 03:07:00,121.41,23.75,16.5,2.8,花蓮縣政府西南方  33.9  公里 (位於花蓮縣萬榮鄉)
小區域,2018/1/12 下午 04:55:00,121.91,24.44,22,3.5,宜蘭縣政府南偏東方  35.7  公里 (位於臺灣東部海域)
001   ,2018/1/12 上午 08:05:00,121.85,24.27,12.4,3.5,花蓮縣政府東北方  38.7  公里 (位於臺灣東部海域)
小區域,2018/1/12 上午 12:43:00,121.86,24.27,11.7,3.4,花蓮縣政府東北方  39.3  公里 (位於臺灣東部海域)
小區域,2018/1/11 下午 12:46:00,120.91,22.82,6,3.3,臺東縣政府西偏北方  25.8  公里 (位於臺東縣延平鄉)
小區域,2018/1/11 上午 06:53:00,121.61,24.04,9.4,2.6,花蓮縣政府北方  5.7  公里 (位於花蓮縣新城鄉)
小區域,2018/1/11 上午 01:23:00,120.71,23.59,16.5,2.9,雲林縣政府東偏南方  22.9  公里 (位於雲林縣古坑鄉)
小區域,2018/1/10 上午 04:15:00,121.41,22.15,24.7,3.4,臺東縣政府南偏東方  72.6  公里 (位於臺灣東部海域)
小區域,2018/1/9 下午 03:10:00,121.7,23.78,44.5,3.4,花蓮縣政府南偏東方  24.2  公里 (位於臺灣東部海域)
小區域,2018/1/8 下午 04:16:00,121.62,22.05,16.8,3.9,臺東縣政府南偏東方  91.6  公里 (位於臺灣東部海域)
小區域,2018/1/8 下午 03:47:00,120.45,23.26,8.8,3,嘉義市政府南方  24.6  公里 (位於臺南市東山區)
小區域,2018/1/8 下午 02:28:00,120.93,24.34,7.1,4.1,苗栗縣政府南偏東方  27.6  公里 (位於臺中市和平區)
小區域,2018/1/8 上午 03:53:00,121.37,23.21,18.7,3.8,臺東縣政府北偏東方  55.5  公里 (位於臺東縣成功鎮)
小區域,2018/1/6 上午 10:56:00,121.47,23.92,17.1,3.5,花蓮縣政府西偏南方  17.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/1/6 上午 09:04:00,121.65,24.03,15.5,3.4,花蓮縣政府東北方  5.0  公里 (位於花蓮縣近海)
小區域,2018/1/6 上午 12:30:00,122,24.81,90,4.2,宜蘭縣政府東偏北方  25.7  公里 (位於臺灣東部海域)
小區域,2018/1/3 下午 06:13:00,121.25,22.85,10.2,3,臺東縣政府東北方  14.7  公里 (位於臺東縣近海)
小區域,2018/1/2 上午 04:10:00,121.25,22.85,7.6,3.7,臺東縣政府東北方  14.5  公里 (位於臺東縣近海)
小區域,2018/1/2 上午 03:22:00,121.24,22.86,8.8,4.2,臺東縣政府東北方  14.9  公里 (位於臺東縣近海)
小區域,2018/1/2 上午 02:01:00,120.73,23.58,16.1,2.8,雲林縣政府東偏南方  24.3  公里 (位於嘉義縣阿里山鄉)
小區域,2018/1/1 下午 08:48:00,121.24,22.86,8,4,臺東縣政府東北方  14.9  公里 (位於臺東縣近海)
小區域,2018/1/1 上午 11:21:00,121.24,22.87,8.9,3.8,臺東縣政府東北方  15.3  公里 (位於臺東縣近海)
小區域,2018/1/1 上午 05:08:00,120.96,22.96,5.7,4,臺東縣政府西北方  29.9  公里 (位於臺東縣延平鄉)
